count,word1
112134,the
105155,__START__
105155,__END__
81899,be
55763,to
54052,of
53635,and
49089,a
34875,in
24027,that
23407,have
19854,it
19838,i
18117,for
15950,you
13590,on
13246,with
12630,as
12316,do
11859,this
11266,not
9363,he
8931,at
8899,we
8727,or
8686,from
8649,will
8590,by
8584,they
8203,but
7023,'s
6969,can
6653,if
6618,'
6399,one
6322,all
6167,say
6166,his
5864,n't
5861,their
5661,your
5427,there
5278,what
5228,my
5168,who
5005,so
4703,make
4696,which
4690,time
4683,get
4676,when
4561,more
4511,would
4445,about
4321,go
4163,people
3954,them
3933,no
3795,like
3791,out
3711,our
3619,up
3533,use
3472,take
3464,some
3407,me
3338,just
3320,know
3276,other
3271,year
3183,also
3164,see
3041,her
2966,only
2925,how
2897,any
2894,-
2873,then
2863,its
2853,she
2808,than
2808,think
2777,him
2706,come
2668,us
2667,these
2619,into
2597,may
2593,should
2567,work
2561,after
2483,way
2402,first
2397,because
2370,new
2352,give
2343,very
2338,need
2324,could
2306,now
2302,day
2278,even
2277,most
2276,over
2240,good
2227,want
2160,right
2150,thing
2115,many
2087,find
2054,look
2022,world
2005,where
1982,back
1967,such
1939,well
1935,two
1899,those
1843,much
1842,life
1794,state
1788,man
1708,country
1675,through
1625,here
1604,before
1604,call
1538,long
1520,government
1513,become
1500,while
1500,place
1468,great
1463,try
1454,start
1451,help
1440,change
1429,own
1421,really
1410,tell
1381,same
1360,still
1348,point
1338,show
1334,too
1331,mean
1328,down
1323,play
1314,every
1313,must
1301,last
1273,part
1260,why
1257,high
1242,another
1238,between
1238,feel
1214,never
1202,end
1183,something
1179,off
1175,both
1166,each
1164,number
1159,leave
1156,2012
1151,child
1140,keep
1137,little
1137,allah
1132,love
1112,however
1110,best
1106,far
1106,case
1105,ask
1102,person
1099,woman
1097,without
1071,around
1070,system
1070,since
1041,always
1039,different
1036,against
1033,home
1009,believe
1006,name
1003,provide
1001,word
997,god
992,problem
980,few
975,better
974,again
969,put
968,write
966,live
962,power
954,run
946,bring
944,group
943,next
942,company
937,week
937,might
934,seem
925,member
915,issue
913,under
909,happen
905,family
902,game
891,during
888,let
887,book
886,big
884,fact
881,three
880,old
874,set
868,pay
866,business
866,service
860,away
856,question
851,result
851,money
849,form
848,1
847,lot
839,hold
835,2
833,example
832,small
828,house
826,second
824,order
821,bad
820,support
819,party
819,cause
819,follow
816,post
816,move
812,war
811,create
801,though
798,view
798,hand
797,read
792,lead
788,turn
784,water
784,area
783,team
782,reason
779,side
774,others
773,information
770,large
770,able
768,line
764,enough
763,month
761,free
760,hear
759,head
754,offer
754,food
749,once
744,return
744,nothing
743,open
741,talk
740,friend
740,note
736,kind
735,experience
734,city
732,matter
731,force
729,important
723,base
721,idea
720,care
718,today
712,report
709,mind
708,course
707,until
707,allow
707,continue
705,face
689,understand
687,yet
687,ever
686,job
685,night
681,real
681,early
679,public
678,level
678,rate
675,light
674,less
672,pm
672,sure
670,s
669,3
668,hope
665,hard
664,value
663,prophet
662,within
662,include
661,add
653,body
650,win
650,school
647,story
646,begin
645,someone
642,lose
641,young
633,cost
633,act
632,present
629,human
626,type
625,law
625,often
620,actually
617,whether
616,test
615,plan
615,share
611,consider
606,close
601,past
598,local
595,stop
594,political
593,community
593,full
593,claim
592,process
592,million
590,possible
587,heart
586,meet
583,anything
583,tax
581,bit
580,american
579,speak
578,market
574,history
573,rather
571,program
571,four
570,buy
567,quite
567,muslim
567,reach
564,learn
561,already
559,true
559,control
558,wave
556,death
554,event
554,answer
552,upon
552,september
551,build
550,national
549,whole
549,least
544,spend
544,top
543,fall
542,student
540,together
538,stay
537,low
537,require
535,center
535,price
534,term
533,room
531,receive
531,decide
529,comment
529,interest
528,future
527,send
525,page
523,either
522,position
521,project
517,development
517,sound
515,stand
514,social
513,condition
513,although
512,kill
508,deal
505,action
504,appear
504,everything
502,remain
501,player
501,hour
500,visit
498,10
495,including
494,south
494,rule
493,study
493,nation
492,sense
489,benefit
488,probably
488,die
487,policy
486,agree
486,wrong
484,themselves
483,chapter
483,age
482,please
481,record
481,4
479,19
478,easy
478,later
477,general
476,above
476,product
475,5
474,individual
474,increase
474,due
472,eye
470,president
470,grow
470,account
470,several
469,india
468,almost
467,watch
466,united
466,pass
465,knowledge
465,court
465,therefore
464,site
463,list
461,eat
461,among
461,choose
459,lie
459,available
457,instead
457,middle
456,international
456,africa
454,strong
454,anyone
453,per
451,leader
451,himself
450,amount
448,according
448,break
448,along
446,vote
443,yes
443,expect
443,period
443,music
443,land
443,clear
442,remember
442,energy
442,everyone
442,late
441,girl
441,effect
440,song
439,else
438,walk
438,simply
437,bank
434,goal
433,fight
432,health
431,hit
430,certain
428,develop
428,accept
426,personal
426,especially
425,likely
425,produce
425,moment
425,short
424,cover
424,occur
424,complete
423,space
422,image
422,step
422,design
417,ship
417,sign
416,ago
416,file
416,attack
415,white
412,perhaps
412,explain
412,sit
412,university
410,mention
409,serve
409,cut
408,situation
407,website
407,five
405,article
403,usually
403,decision
403,black
403,truth
403,sometimes
402,b
402,option
400,current
399,common
398,wish
398,across
398,election
397,practice
397,2011
397,guy
396,king
395,risk
395,simple
394,security
394,office
394,realize
393,society
392,seek
392,data
391,australia
391,save
390,rest
390,ball
390,application
390,towards
390,wait
388,half
386,drive
386,user
385,soon
385,air
384,release
382,join
381,figure
380,sell
379,opportunity
379,online
378,standard
376,quality
375,perform
373,date
373,apply
373,link
371,media
371,chance
371,nature
370,brother
370,nor
369,key
369,economic
366,detail
366,relationship
366,check
366,carry
363,review
363,couple
363,6
362,father
362,technology
361,class
361,difference
360,lord
359,web
359,single
359,enjoy
358,film
358,thought
357,feature
357,financial
357,search
356,front
356,following
356,east
355,focus
355,fit
355,behind
352,art
352,outside
352,travel
351,maybe
349,range
349,particular
349,ground
348,effort
348,myself
346,below
346,stage
345,itself
345,main
344,approach
344,suggest
344,research
342,john
341,e-mail
341,pretty
339,aragorn
339,season
338,color
337,treatment
337,role
337,shall
337,function
336,click
336,news
336,opinion
335,island
335,minute
334,fail
334,fear
333,match
333,mother
332,romney
332,source
331,organization
331,address
331,statement
330,car
330,solution
329,credit
329,third
329,religion
328,police
328,avoid
327,population
327,race
327,challenge
326,contact
325,november
325,major
325,pick
325,rise
324,activity
324,poor
323,campaign
323,material
323,charge
322,special
321,difficult
321,trade
321,board
320,thus
320,section
319,sort
319,israel
319,content
318,similar
317,wife
317,son
316,describe
316,piece
316,draw
316,access
316,respect
316,series
316,finally
315,economy
315,happy
315,final
315,club
314,choice
313,represent
313,style
312,contain
312,near
311,raise
311,education
310,teach
310,british
310,miss
310,various
310,document
308,20
308,tree
308,minister
307,islam
307,character
307,parent
307,field
306,road
306,photo
306,achieve
306,morning
306,paper
305,yourself
305,gain
305,natural
304,table
304,performance
303,culture
303,o
303,america
302,letter
302,forward
302,manage
301,earth
301,improve
301,red
301,attempt
299,english
299,street
299,picture
298,china
298,fire
297,object
297,west
297,am
295,whom
295,enter
293,model
293,fan
292,former
292,fast
291,growth
291,town
290,total
290,six
290,relate
289,reduce
289,kid
289,text
289,building
289,prove
288,nice
288,certainly
288,judge
288,tour
287,etc
287,notice
287,inside
287,north
286,doubt
286,legal
286,message
285,blood
285,interesting
285,necessary
285,prepare
284,na
283,property
283,arise
283,foot
283,prevent
282,percent
281,ability
281,desire
281,century
281,indeed
281,positive
280,despite
280,limit
280,region
279,private
279,wear
278,voice
278,partner
277,belief
277,animal
277,billion
277,subject
277,science
277,customer
277,demand
276,alone
276,theory
275,completely
275,christian
275,bond
275,faith
274,peace
274,press
274,success
274,management
273,england
273,union
273,throw
272,lack
271,7
271,obama
271,video
271,fund
271,whatever
271,resource
271,t
270,recent
269,8
269,mark
269,expert
268,protect
268,companion
267,direct
266,regard
266,exactly
265,director
265,modern
265,factor
265,clearly
265,catch
264,method
264,forget
263,author
263,version
263,compare
262,assume
262,left
262,remove
262,western
262,europe
262,freedom
262,exist
262,thanks
262,argument
261,huge
261,response
260,contract
260,boy
260,refer
260,drop
258,blog
258,deep
257,japan
256,skill
256,12
256,evidence
256,uk
255,phone
255,wonder
255,feeling
255,beautiful
255,language
254,purpose
254,museum
254,sleep
253,whose
253,arrive
253,item
253,size
252,german
252,fun
252,loss
252,sun
250,influence
250,currently
250,string
250,30
250,industry
250,official
249,structure
249,green
248,existence
248,establish
248,church
248,involve
248,baby
248,band
247,dream
247,australian
247,foreign
247,listen
246,military
246,relative
246,majority
246,lay
245,movement
245,particularly
245,touch
244,ensure
244,strategy
244,germany
243,oh
243,battle
243,staff
242,door
242,investment
242,worth
242,path
242,recently
242,institution
241,recognize
241,fine
241,debt
241,doctor
240,card
240,thousand
240,oil
239,blue
238,global
237,mountain
237,store
235,college
235,chief
234,wide
234,rich
234,unless
234,deliver
234,quickly
233,maintain
233,ten
233,income
233,suffer
233,average
232,thank
232,dark
232,entire
232,visitor
232,discuss
231,ireland
231,authority
230,basic
230,beyond
230,stuff
230,attention
230,/
230,impact
230,ready
229,affect
229,hospital
229,internet
229,star
228,officer
228,spirit
228,normal
228,measure
227,neither
